theory,host,defect,cdir,nelect,F,E0,conv
pbesol,CdSe0.06Te0.94,Sb_Te+Sb_i,Neutral,1948.0000,-.59854777E+03,-.59854777E+03,1
pbesol,CdSe0.06Te0.94,Sb_i,Charged+1,1948,-.60042374E+03,-.60042374E+03,1
pbesol,CdSe0.06Te0.94,Sb_i,Charged+2,1947,-.60318577E+03,-.60317166E+03,1
pbesol,CdSe0.06Te0.94,Sb_i,Charged-1,1950,-.59516738E+03,-.59515326E+03,1
pbesol,CdSe0.06Te0.94,Sb_i,Charged-2,1951,-.59239673E+03,-.59239597E+03,1
pbesol,CdSe0.06Te0.94,Sb_i,Neutral,1949.0000,-.59799258E+03,-.59797848E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Sb_i,Charged+1,1953,-.60319991E+03,-.60318580E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Sb_i,Charged+2,1952,-.60640972E+03,-.60640972E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Sb_i,Charged-1,1955,-.59769221E+03,-.59769217E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Sb_i,Charged-2,1956,-.59597564E+03,-.59597564E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Sb_i,Neutral,1954.0000,-.60131622E+03,-.60131622E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Se_i,Charged+1,1954,-.60352152E+03,-.60352152E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Se_i,Charged+2,1953,-.60630361E+03,-.60628950E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Se_i,Charged-1,1956,-.59873476E+03,-.59873476E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Se_i,Charged-2,1957,-.59591952E+03,-.59591952E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Se_i,Neutral,1955.0000,-.60120505E+03,-.60119095E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Te_i,Charged+1,1954,-.60282092E+03,-.60282091E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Te_i,Charged+2,1953,-.60553065E+03,-.60551655E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Te_i,Charged-1,1956,-.59795396E+03,-.59795396E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Te_i,Charged-2,1957,-.59478143E+03,-.59478094E+03,1
pbesol,CdSe0.06Te0.94,Sb_i+Te_i,Neutral,1955.0000,-.60054497E+03,-.60053087E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd,Charged+1,1949,-.59312471E+03,-.59311061E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd,Charged+2,1948,-.59583928E+03,-.59583928E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd,Charged-1,1951,-.58733580E+03,-.58733579E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd,Charged-2,1952,-.58426050E+03,-.58426050E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd,Neutral,1950.0000,-.59035713E+03,-.59035713E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd+Cd_i,Charged+1,1961,-.59299968E+03,-.59299595E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd+Cd_i,Charged+2,1960,-.59593871E+03,-.59593871E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd+Cd_i,Charged-1,1963,-.58728916E+03,-.58727505E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd+Cd_i,Charged-2,1964,-.58429009E+03,-.58429009E+03,1
pbesol,CdSe0.06Te0.94,Se_Cd+Cd_i,Neutral,1962.0000,-.59033653E+03,-.59033653E+03,1
pbesol,CdSe0.06Te0.94,Se_Te,Charged+1,1943,-.59745315E+03,-.59742667E+03,1
pbesol,CdSe0.06Te0.94,Se_Te,Charged+2,1942,-.59958800E+03,-.59954946E+03,1
pbesol,CdSe0.06Te0.94,Se_Te,Charged-1,1945,-.59258681E+03,-.59257270E+03,1
pbesol,CdSe0.06Te0.94,Se_Te,Charged-2,1946,-.58983423E+03,-.58983423E+03,1
pbesol,CdSe0.06Te0.94,Se_Te,Neutral,1944.0000,-.59528644E+03,-.59528644E+03,1
pbesol,CdSe0.06Te0.94,Se_i,Charged+1,1949,-.60061300E+03,-.60061084E+03,1
pbesol,CdSe0.06Te0.94,Se_i,Charged+2,1948,-.60290506E+03,-.60290506E+03,1
pbesol,CdSe0.06Te0.94,Se_i,Charged-1,1951,-.59576667E+03,-.59575256E+03,1
pbesol,CdSe0.06Te0.94,Se_i,Charged-2,1952,-.59303283E+03,-.59303283E+03,1
pbesol,CdSe0.06Te0.94,Se_i,Neutral,1950.0000,-.59844800E+03,-.59844800E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd,Charged+1,1949,-.59375903E+03,-.59374493E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd,Charged+2,1948,-.59643327E+03,-.59643327E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd,Charged-1,1951,-.58810262E+03,-.58810262E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd,Charged-2,1952,-.58503023E+03,-.58503002E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd,Neutral,1950.0000,-.59106351E+03,-.59106351E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd+Cd_i,Charged+1,1961,-.59439970E+03,-.59438559E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd+Cd_i,Charged+2,1960,-.59707114E+03,-.59707114E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd+Cd_i,Charged-1,1963,-.58867887E+03,-.58867882E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd+Cd_i,Charged-2,1964,-.58617431E+03,-.58617431E+03,1
pbesol,CdSe0.06Te0.94,Te_Cd+Cd_i,Neutral,1962.0000,-.59167653E+03,-.59167653E+03,1
pbesol,CdSe0.06Te0.94,Te_Se,Charged+1,1943,-.59864627E+03,-.59861985E+03,1
pbesol,CdSe0.06Te0.94,Te_Se,Charged+2,1942,-.60073209E+03,-.60069362E+03,1
pbesol,CdSe0.06Te0.94,Te_Se,Charged-1,1945,-.59389949E+03,-.59388539E+03,1
pbesol,CdSe0.06Te0.94,Te_Se,Charged-2,1946,-.59121775E+03,-.59121775E+03,1
pbesol,CdSe0.06Te0.94,Te_Se,Neutral,1944.0000,-.59652751E+03,-.59652751E+03,1
pbesol,CdSe0.06Te0.94,Te_i,Charged+1,1949,-.60004065E+03,-.60003987E+03,1
pbesol,CdSe0.06Te0.94,Te_i,Charged+2,1948,-.60233449E+03,-.60233449E+03,1
pbesol,CdSe0.06Te0.94,Te_i,Charged-1,1951,-.59511980E+03,-.59510569E+03,1
pbesol,CdSe0.06Te0.94,Te_i,Charged-2,1952,-.59235032E+03,-.59235032E+03,1
pbesol,CdSe0.06Te0.94,Te_i,Neutral,1950.0000,-.59773385E+03,-.59773385E+03,1
pbesol,CdSe0.06Te0.94,V_Cd,Charged+1,1931,-.59440924E+03,-.59436863E+03,1
pbesol,CdSe0.06Te0.94,V_Cd,Charged+2,1930,-.59648433E+03,-.59644708E+03,1
pbesol,CdSe0.06Te0.94,V_Cd,Charged-1,1933,-.59018780E+03,-.59016306E+03,1
pbesol,CdSe0.06Te0.94,V_Cd,Charged-2,1934,-.58801725E+03,-.58801725E+03,1
pbesol,CdSe0.06Te0.94,V_Cd,Neutral,1932.0000,-.59231148E+03,-.59227485E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Se,Charged+1,1925,-.59568761E+03,-.59566272E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Se,Charged+2,1924,-.59780133E+03,-.59776490E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Se,Charged-1,1927,-.59121840E+03,-.59121840E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Se,Charged-2,1928,-.58894558E+03,-.58894558E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Se,Neutral,1926.0000,-.59353617E+03,-.59353617E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Te,Charged+1,1925,-.59561505E+03,-.59558979E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Te,Charged+2,1924,-.59774980E+03,-.59771285E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Te,Charged-1,1927,-.59094577E+03,-.59094577E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Te,Charged-2,1928,-.58847853E+03,-.58847852E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Cd_Te,Neutral,1926.0000,-.59344326E+03,-.59344326E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_Cd,Charged+1,1937,-.59024526E+03,-.59022151E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_Cd,Charged+2,1936,-.59236057E+03,-.59232584E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_Cd,Charged-1,1939,-.58537455E+03,-.58536044E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_Cd,Charged-2,1940,-.58261380E+03,-.58261380E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_Cd,Neutral,1938.0000,-.58808285E+03,-.58808285E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_i,Charged+1,1937,-.59820758E+03,-.59818289E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_i,Charged+2,1936,-.60033011E+03,-.60029389E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_i,Charged-1,1939,-.59342909E+03,-.59342907E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_i,Charged-2,1940,-.59074875E+03,-.59074407E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Se_i,Neutral,1938.0000,-.59604927E+03,-.59604927E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Te_Cd,Charged+1,1937,-.59105397E+03,-.59102900E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Te_Cd,Charged+2,1936,-.59312983E+03,-.59309283E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Te_Cd,Charged-1,1939,-.58626265E+03,-.58624854E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Te_Cd,Charged-2,1940,-.58353447E+03,-.58353447E+03,1
pbesol,CdSe0.06Te0.94,V_Cd+Te_Cd,Neutral,1938.0000,-.58893729E+03,-.58893729E+03,1
pbesol,CdSe0.06Te0.94,V_Se,Charged+1,1937,-.59222570E+03,-.59221159E+03,1
pbesol,CdSe0.06Te0.94,V_Se,Charged+2,1936,-.59487621E+03,-.59487621E+03,1
pbesol,CdSe0.06Te0.94,V_Se,Charged-1,1939,-.58653823E+03,-.58652412E+03,1
pbesol,CdSe0.06Te0.94,V_Se,Charged-2,1940,-.58374484E+03,-.58374484E+03,1
pbesol,CdSe0.06Te0.94,V_Se,Neutral,1938.0000,-.58928040E+03,-.58928040E+03,1
pbesol,CdSe0.06Te0.94,V_Se+Cd_Se,Charged+1,1931,-.59290143E+03,-.59288733E+03,1
pbesol,CdSe0.06Te0.94,V_Se+Cd_Se,Charged+2,1930,-.59559973E+03,-.59559973E+03,1
pbesol,CdSe0.06Te0.94,V_Se+Cd_Se,Charged-1,1933,-.58748551E+03,-.58747141E+03,1
pbesol,CdSe0.06Te0.94,V_Se+Cd_Se,Charged-2,1934,-.58467212E+03,-.58467212E+03,1
pbesol,CdSe0.06Te0.94,V_Se+Cd_Se,Neutral,1932.0000,-.59025193E+03,-.59025193E+03,1
pbesol,CdSe0.06Te0.94,V_Te,Charged+1,1937,-.59287595E+03,-.59286185E+03,1
pbesol,CdSe0.06Te0.94,V_Te,Charged+2,1936,-.59548883E+03,-.59548883E+03,1
pbesol,CdSe0.06Te0.94,V_Te,Charged-1,1939,-.58743921E+03,-.58742511E+03,1
pbesol,CdSe0.06Te0.94,V_Te,Charged-2,1940,-.58469422E+03,-.58469422E+03,1
pbesol,CdSe0.06Te0.94,V_Te,Neutral,1938.0000,-.59020922E+03,-.59020922E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Cd_Te,Charged+1,1931,-.59315182E+03,-.59313771E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Cd_Te,Charged+2,1930,-.59518094E+03,-.59518094E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Cd_Te,Charged-1,1933,-.58770129E+03,-.58770129E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Cd_Te,Charged-2,1934,-.58500228E+03,-.58499907E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Cd_Te,Neutral,1932.0000,-.59046434E+03,-.59046434E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Te_i,Charged+1,1943,-.59805488E+03,-.59802840E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Te_i,Charged+2,1942,-.60016585E+03,-.60012731E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Te_i,Charged-1,1945,-.59324922E+03,-.59323512E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Te_i,Charged-2,1946,-.59053263E+03,-.59053263E+03,1
pbesol,CdSe0.06Te0.94,V_Te+Te_i,Neutral,1944.0000,-.59591205E+03,-.59591205E+03,1
pbesol,CdSe0.12Te0.88,As_Se,Charged+1,1952,-.60130862E+03,-.60127037E+03,1
pbesol,CdSe0.12Te0.88,As_Se,Charged+2,1951,-.60337209E+03,-.60333005E+03,1
pbesol,CdSe0.12Te0.88,As_Se,Charged-1,1954,-.59709399E+03,-.59709399E+03,1
pbesol,CdSe0.12Te0.88,As_Se,Charged-2,1955,-.59450631E+03,-.59449220E+03,1
pbesol,CdSe0.12Te0.88,As_Se,Neutral,1953.0000,-.59922155E+03,-.59919535E+03,1
pbesol,CdSe0.12Te0.88,As_Se+As_i,Charged+1,1967,-.60561803E+03,-.60561803E+03,1
pbesol,CdSe0.12Te0.88,As_Se+As_i,Charged+2,1966,-.60822578E+03,-.60822578E+03,1
pbesol,CdSe0.12Te0.88,As_Se+As_i,Charged-1,1969,-.60044813E+03,-.60043403E+03,1
pbesol,CdSe0.12Te0.88,As_Se+As_i,Charged-2,1970,-.59773768E+03,-.59773768E+03,1
pbesol,CdSe0.12Te0.88,As_Se+As_i,Neutral,1968.0000,-.60309899E+03,-.60309865E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_Se,Charged+1,1953,-.60010900E+03,-.60008359E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_Se,Charged+2,1952,-.60218918E+03,-.60215186E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_Se,Charged-1,1955,-.59541042E+03,-.59539632E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_Se,Charged-2,1956,-.59277762E+03,-.59277762E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_Se,Neutral,1954.0000,-.59798844E+03,-.59798844E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_i,Charged+1,1959,-.60414543E+03,-.60412031E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_i,Charged+2,1958,-.60622649E+03,-.60619002E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_i,Charged-1,1961,-.59940419E+03,-.59939009E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_i,Charged-2,1962,-.59672836E+03,-.59672836E+03,1
pbesol,CdSe0.12Te0.88,As_Se+Cl_i,Neutral,1960.0000,-.60202428E+03,-.60202428E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_Se,Charged+1,1952,-.60272286E+03,-.60268532E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_Se,Charged+2,1951,-.60476011E+03,-.60471861E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_Se,Charged-1,1954,-.59855580E+03,-.59855580E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_Se,Charged-2,1955,-.59608055E+03,-.59606644E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_Se,Neutral,1953.0000,-.60065988E+03,-.60063428E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_i,Charged+1,1958,-.60677273E+03,-.60677273E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_i,Charged+2,1957,-.60889143E+03,-.60887146E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_i,Charged-1,1960,-.60302694E+03,-.60302441E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_i,Charged-2,1961,-.60041495E+03,-.60040084E+03,1
pbesol,CdSe0.12Te0.88,As_Se+O_i,Neutral,1959.0000,-.60556529E+03,-.60556529E+03,1
pbesol,CdSe0.12Te0.88,As_Te,Charged+1,1952,-.60189793E+03,-.60185949E+03,1
pbesol,CdSe0.12Te0.88,As_Te,Charged+2,1951,-.60393246E+03,-.60389024E+03,1
pbesol,CdSe0.12Te0.88,As_Te,Charged-1,1954,-.59774563E+03,-.59774563E+03,1
pbesol,CdSe0.12Te0.88,As_Te,Charged-2,1955,-.59518413E+03,-.59517002E+03,1
pbesol,CdSe0.12Te0.88,As_Te,Neutral,1943.0000,-.59984021E+03,-.59981386E+03,1
pbesol,CdSe0.12Te0.88,As_Te+As_i,Charged+1,1967,-.60613286E+03,-.60613286E+03,1
pbesol,CdSe0.12Te0.88,As_Te+As_i,Charged+2,1966,-.60867513E+03,-.60867513E+03,1
pbesol,CdSe0.12Te0.88,As_Te+As_i,Charged-1,1969,-.60102304E+03,-.60100893E+03,1
pbesol,CdSe0.12Te0.88,As_Te+As_i,Charged-2,1970,-.59834922E+03,-.59834922E+03,1
pbesol,CdSe0.12Te0.88,As_Te+As_i,Neutral,1968.0000,-.60364067E+03,-.60364025E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_Te,Charged+1,1953,-.60142944E+03,-.60140328E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_Te,Charged+2,1952,-.60343511E+03,-.60339696E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_Te,Charged-1,1955,-.59687097E+03,-.59685687E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_Te,Charged-2,1956,-.59430092E+03,-.59430092E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_Te,Neutral,1954.0000,-.59938856E+03,-.59938856E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_i,Charged+1,1959,-.60482003E+03,-.60479473E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_i,Charged+2,1958,-.60687341E+03,-.60683653E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_i,Charged-1,1961,-.60013984E+03,-.60012574E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_i,Charged-2,1962,-.59749453E+03,-.59749453E+03,1
pbesol,CdSe0.12Te0.88,As_Te+Cl_i,Neutral,1960.0000,-.60273142E+03,-.60273142E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_Te,Charged+1,1952,-.60383424E+03,-.60379732E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_Te,Charged+2,1951,-.60581056E+03,-.60576984E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_Te,Charged-1,1954,-.59979406E+03,-.59979406E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_Te,Charged-2,1955,-.59737432E+03,-.59736021E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_Te,Neutral,1953.0000,-.60183383E+03,-.60180881E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_i,Charged+1,1958,-.60836913E+03,-.60836452E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_i,Charged+2,1957,-.61043159E+03,-.61040598E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_i,Charged-1,1960,-.60368348E+03,-.60368250E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_i,Charged-2,1961,-.60110600E+03,-.60109190E+03,1
pbesol,CdSe0.12Te0.88,As_Te+O_i,Neutral,1959.0000,-.60615900E+03,-.60615900E+03,1
pbesol,CdSe0.12Te0.88,As_i,Charged+1,1958,-.60519560E+03,-.60519560E+03,1
pbesol,CdSe0.12Te0.88,As_i,Charged+2,1957,-.60747234E+03,-.60747234E+03,1
pbesol,CdSe0.12Te0.88,As_i,Charged-1,1960,-.59991791E+03,-.59991791E+03,1
pbesol,CdSe0.12Te0.88,As_i,Charged-2,1961,-.59719792E+03,-.59718780E+03,1
pbesol,CdSe0.12Te0.88,As_i,Neutral,1959.0000,-.60256743E+03,-.60255333E+03,1
pbesol,CdSe0.12Te0.88,As_i+As_i,Charged+1,1973,-.60956547E+03,-.60956475E+03,1
pbesol,CdSe0.12Te0.88,As_i+As_i,Charged+2,1972,-.61202543E+03,-.61202543E+03,1
pbesol,CdSe0.12Te0.88,As_i+As_i,Charged-1,1975,-.60445799E+03,-.60445779E+03,1
pbesol,CdSe0.12Te0.88,As_i+As_i,Charged-2,1976,-.60161247E+03,-.60161247E+03,1
pbesol,CdSe0.12Te0.88,As_i+As_i,Neutral,1974.0000,-.60710185E+03,-.60710120E+03,1
pbesol,CdSe0.12Te0.88,As_i+Se_i,Charged+1,1964,-.60881906E+03,-.60881906E+03,1
pbesol,CdSe0.12Te0.88,As_i+Se_i,Charged+2,1963,-.61096563E+03,-.61094084E+03,1
pbesol,CdSe0.12Te0.88,As_i+Se_i,Charged-1,1966,-.60346124E+03,-.60345120E+03,1
pbesol,CdSe0.12Te0.88,As_i+Se_i,Charged-2,1967,-.60073557E+03,-.60073557E+03,1
pbesol,CdSe0.12Te0.88,As_i+Se_i,Neutral,1965.0000,-.60618343E+03,-.60616932E+03,1
pbesol,CdSe0.12Te0.88,As_i+Te_i,Charged+1,1964,-.60815758E+03,-.60815758E+03,1
pbesol,CdSe0.12Te0.88,As_i+Te_i,Charged+2,1963,-.61035639E+03,-.61034986E+03,1
pbesol,CdSe0.12Te0.88,As_i+Te_i,Charged-1,1966,-.60308064E+03,-.60308064E+03,1
pbesol,CdSe0.12Te0.88,As_i+Te_i,Charged-2,1967,-.59942545E+03,-.59942544E+03,1
pbesol,CdSe0.12Te0.88,As_i+Te_i,Neutral,1965.0000,-.60556569E+03,-.60555158E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd,Charged+1,1946,-.60428465E+03,-.60428465E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd,Charged+2,1945,-.60640347E+03,-.60637702E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd,Charged-1,1948,-.59888532E+03,-.59888532E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd,Charged-2,1949,-.59556111E+03,-.59556111E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd,Neutral,1947.0000,-.60161164E+03,-.60159754E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Se,Charged+1,1955,-.60251426E+03,-.60249140E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Se,Charged+2,1954,-.60472793E+03,-.60469448E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Se,Charged-1,1957,-.59750875E+03,-.59749464E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Se,Charged-2,1958,-.59474880E+03,-.59474880E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Se,Neutral,1956.0000,-.60021473E+03,-.60021473E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Te,Charged+1,1955,-.60362010E+03,-.60359558E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Te,Charged+2,1954,-.60573918E+03,-.60570286E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Te,Charged-1,1957,-.59877271E+03,-.59875861E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Te,Charged-2,1958,-.59603313E+03,-.59603313E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_Te,Neutral,1956.0000,-.60145885E+03,-.60145885E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_i,Charged+1,1961,-.60612903E+03,-.60612890E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_i,Charged+2,1960,-.60905210E+03,-.60905210E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_i,Charged-1,1963,-.60118516E+03,-.60117106E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_i,Charged-2,1964,-.59841602E+03,-.59841602E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Bi_i,Neutral,1962.0000,-.60299412E+03,-.60299402E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Se,Charged+1,1947,-.60248938E+03,-.60247528E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Se,Charged+2,1946,-.60515120E+03,-.60515120E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Se,Charged-1,1949,-.59658290E+03,-.59658290E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Se,Charged-2,1950,-.59381823E+03,-.59381823E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Se,Neutral,1948.0000,-.59977516E+03,-.59977516E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Te,Charged+1,1947,-.60330656E+03,-.60329246E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Te,Charged+2,1946,-.60592176E+03,-.60592176E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Te,Charged-1,1949,-.59766258E+03,-.59766258E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Te,Charged-2,1950,-.59451250E+03,-.59451250E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_Te,Neutral,1948.0000,-.60063795E+03,-.60063795E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_i,Charged+1,1953,-.60588969E+03,-.60586336E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_i,Charged+2,1952,-.60800177E+03,-.60796343E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_i,Charged-1,1955,-.60104080E+03,-.60102670E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_i,Charged-2,1956,-.59828434E+03,-.59828434E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+Cl_i,Neutral,1954.0000,-.60374362E+03,-.60374362E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Se,Charged+1,1946,-.60574846E+03,-.60574846E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Se,Charged+2,1945,-.60784211E+03,-.60781573E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Se,Charged-1,1948,-.60055428E+03,-.60055428E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Se,Charged-2,1949,-.59728499E+03,-.59727088E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Se,Neutral,1947.0000,-.60317868E+03,-.60316457E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Te,Charged+1,1946,-.60665639E+03,-.60665639E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Te,Charged+2,1945,-.60873182E+03,-.60870546E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Te,Charged-1,1948,-.60143076E+03,-.60143076E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Te,Charged-2,1949,-.59840584E+03,-.59840584E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_Te,Neutral,1947.0000,-.60407052E+03,-.60405642E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_i,Charged+1,1952,-.60847236E+03,-.60843404E+03,1
pbesol,CdSe0.12Te0.88,Bi_Cd+O_i,Charged+2,1951,-.61055239E+03,-.61050972E+03,1
